Next particle
x(m)	y(m)	z(m)	Energy (GeV)
0.0405	0	0
0.06	0	0
0.08	0	0
0.1	0	0
0.12	0	0
0.14	0.0001	0
0.16	0.0001	0
0.18	0.0001	0
0.2	0.0001	0
0.22	0.000125	0
0.24	0.000166667	0
0.26	0.000166667	0
0.28	0.000208333	0
0.3	0.00025	0
0.32	0.00025	0
0.34	0.000291667	0
0.36	0.000333333	0
0.38	0.000375	0
0.4	0.000416667	0
0.42	0.000458333	0
0.44	0.0005	0
0.46	0.000541667	0
0.48	0.000583333	0
0.5	0.000625	0
0.52	0.000708333	0
0.539999	0.00075	0
0.559999	0.000791666	0
0.579999	0.000875	0
0.599999	0.000916666	0
0.619999	0.000958333	0
0.639999	0.00104167	0
0.659999	0.001125	0
0.679999	0.00116667	0
0.699999	0.00125	0
0.719999	0.00133333	0
0.739999	0.001375	0
0.759999	0.00145833	0
0.779998	0.00154167	0
0.799998	0.001625	0
0.819998	0.00170833	0
0.839998	0.00179167	0
0.859998	0.001875	0
0.879998	0.00195833	0
0.899998	0.00204166	0
0.919998	0.002125	0
0.939997	0.00225	0
0.959997	0.00233333	0
0.979997	0.00241666	0
0.999997	0.00254166	0
8.46475	0.179986	0
9.13114	0.199984	0
10.297	0.249975	0
11.7959	0.309964	0
13.2949	0.369952	0
14.7938	0.42994	0
16.2929	0.479931	0.01
17.7918	0.539917	0.01
19.2907	0.599903	0.02
20.7895	0.659889	0.02
1.1	0	6.73556e-17	0.0116308
1.125	0	6.88864e-17	0.0116308
1.15	0	7.04172e-17	0.0116308
1.175	0	7.1948e-17	0.0116308
1.2	0	7.34788e-17	0.0116308
1.225	0	7.50096e-17	0.0116308
1.25	0	7.65404e-17	0.0116308
1.275	0	7.80712e-17	0.0116308
1.3	0	7.9602e-17	0.0116308
1.325	0	8.11329e-17	0.0116308
1.35	0	8.26637e-17	0.0116308
1.375	0	8.41945e-17	0.0116308
1.4	0	8.57253e-17	0.0116308
1.425	0	8.72561e-17	0.0116308
1.45	0	8.87869e-17	0.0116308
1.475	0	9.03177e-17	0.0116309
1.5	0	9.18485e-17	0.0116308
1.525	0	9.33793e-17	0.0116309
1.55	0	9.49101e-17	0.0116308
1.575	0	9.64409e-17	0.0116309
1.6	0	9.79717e-17	0.0116308
1.625	0	9.95026e-17	0.0116309
1.65	0	1.01033e-16	0.0116308
1.675	0	1.02564e-16	0.0116309
1.7	0	1.04095e-16	0.0116309
1.725	0	1.05626e-16	0.0116309
1.8	0	1.10218e-16	0.0028923
1.85	0	1.1328e-16	0.00289231
1.9	0	1.16341e-16	0.00289231
1.95	0	1.19403e-16	0.00289231
2	0	1.22465e-16	0.00289231
2.05	0	1.25526e-16	0.00289231
2.1	0	1.28588e-16	0.00289232
2.15	0	1.3165e-16	0.00289232
2.2	0	1.34711e-16	0.00289232
2.25	0	1.37773e-16	0.00289232
2.3	0	1.40834e-16	0.00289233
2.35	0	1.43896e-16	0.00289233
2.4	0	1.46958e-16	0.00289233
2.45	0	1.50019e-16	0.00289233
2.5	0	1.53081e-16	0.00289234
2.55	0	1.56142e-16	0.00289234
2.6	0	1.59204e-16	0.00289234
2.65	0	1.62266e-16	0.00289235
2.7	0	1.65327e-16	0.00289235
2.75	0	1.68389e-16	0.00289235
2.8	0	1.71451e-16	0.00289235
2.85	0	1.74512e-16	0.00289236
2.9	0	1.77574e-16	0.00289236
2.95	0	1.80635e-16	0.00289236
3	0	1.83697e-16	0.00289237
3.05	0	1.86759e-16	0.00289237
3.1	0	1.8982e-16	0.00289237
3.15	0	1.92882e-16	0.00289238
3.2	0	1.95943e-16	0.00289238
3.25	0	1.99005e-16	0.00289238
3.3	0	2.02067e-16	0.00289239
3.35	0	2.05128e-16	0.00289239
3.4	0	2.0819e-16	0.0028924
3.45	0	2.11252e-16	0.0028924
3.5	0	2.14313e-16	0.0028924
3.55	0	2.17375e-16	0.00289241
3.6	0	2.20436e-16	0.00289241
3.65	0	2.23498e-16	0.00289242
3.7	0	2.2656e-16	0.00289242
3.75	0	2.29621e-16	0.00289242
3.8	0	2.32683e-16	0.00289243
3.85	0	2.35745e-16	0.00289243
3.9	0	2.38806e-16	0.00289244
3.95	0	2.41868e-16	0.00289244
4	0	2.44929e-16	0.00289244
4.05	0	2.47991e-16	0.00289245
4.1	0	2.51053e-16	0.00289245
4.15	0	2.54114e-16	0.00289246
4.2	0	2.57176e-16	0.00289246
4.25	0	2.60237e-16	0.00289247
4.3	0	2.63299e-16	0.00289247
4.35	0	2.66361e-16	0.00289248
4.4	0	2.69422e-16	0.00289248
4.45	0	2.72484e-16	0.00289249
4.5	0	2.75546e-16	0.00289249
4.55	0	2.78607e-16	0.0028925
4.6	0	2.81669e-16	0.0028925
4.65	0	2.8473e-16	0.00289251
4.7	0	2.87792e-16	0.00289251
4.75	0	2.90854e-16	0.00289252
4.8	0	2.93915e-16	0.00289252
4.85	0	2.96977e-16	0.00289253
4.9	0	3.00038e-16	0.00289253
4.95	0	3.031e-16	0.00289254
5	0	3.06162e-16	0.00289254
5.05	0	3.09223e-16	0.00289255
5.1	0	3.12285e-16	0.00289256
5.15	0	3.15347e-16	0.00289256
5.2	0	3.18408e-16	0.00289257
5.25	0	3.2147e-16	0.00289257
5.3	0	3.24531e-16	0.00289258
5.35	0	3.27593e-16	0.00289258
5.4	0	3.30655e-16	0.00289259
5.45	0	3.33716e-16	0.0028926
5.5	0	3.36778e-16	0.0028926
5.55	0	3.39839e-16	0.00289261
5.6	0	3.42901e-16	0.00289261
5.65	0	3.45963e-16	0.00289262
5.7	0	3.49024e-16	0.00289263
5.75	0	3.52086e-16	0.00289263
