Next particle
x(m)	y(m)	z(m)	Energy (GeV)
0.0286439	0.0286317	0.3847
0.0424433	0.0424095	0.377
0.0565911	0.056546	0.3694
0.0707388	0.0706825	0.3617
0.0848866	0.084819	0.3503
0.0848866	0.084819	0.3541
0.0990344	0.0989555	0.3426
0.113182	0.113092	0.3349
0.12733	0.127229	0.3273
0.141478	0.141365	0.3196
0.15562	0.155507	0.312
0.169791	0.16962	0.3005
0.169791	0.16962	0.304333
0.183933	0.183763	0.292833
0.198104	0.197876	0.285208
0.212246	0.212018	0.277542
0.226417	0.226131	0.269875
0.240559	0.240273	0.26225
0.25473	0.254386	0.25075
0.25473	0.254386	0.254583
0.268902	0.268499	0.243083
0.283073	0.282612	0.235458
0.297215	0.296755	0.227792
0.311386	0.310867	0.220125
0.325558	0.32498	0.2125
0.339729	0.339093	0.201
0.339729	0.339093	0.204833
0.3539	0.353206	0.193333
0.368072	0.367319	0.185708
0.382243	0.381432	0.178042
0.396414	0.395545	0.170375
0.410585	0.409658	0.16275
0.424757	0.423771	0.155083
0.438928	0.437884	0.143583
0.453099	0.451997	0.135958
0.467271	0.466109	0.128292
0.481471	0.480193	0.120625
0.495643	0.494306	0.113
0.509814	0.508419	0.105333
0.524015	0.522502	0.0938333
0.538186	0.536615	0.0862083
0.552357	0.550728	0.0785417
0.566558	0.564811	0.070875
0.580729	0.578924	0.06325
0.59493	0.593008	0.0555833
0.609102	0.607121	0.044125
0.623302	0.621204	0.0364583
0.637503	0.635287	0.0287917
0.651674	0.6494	0.021125
0.665875	0.663484	0.0135
0.680076	0.677567	0.00583333
0.694276	0.69165	-0.005625
0.708448	0.705763	-0.0132917
0.801865	0.753002	6.73556e-17	1.5894e-07
0.82009	0.770115	6.88864e-17	5.7152e-06
0.838314	0.787229	7.04172e-17	2.41144e-05
0.856538	0.804343	7.1948e-17	7.28423e-05
0.874762	0.821457	7.34788e-17	0.000554499
0.892987	0.83857	7.50096e-17	0.000714855
0.911211	0.855684	7.65404e-17	0.0033054
0.929435	0.872798	7.80712e-17	0.00320063
0.947659	0.889911	7.9602e-17	0.00477748
0.965883	0.907025	8.11329e-17	0.016482
0.984108	0.924139	-0.316583	0.013058
0.984108	0.924139	8.26637e-17	4.26215e-14
1.00233	0.941252	-0.320077	0.01735
1.02056	0.958366	-0.323552	0.0514805
1.03878	0.97548	-0.327008	0.0363601
1.057	0.992593	-0.330446	0.0451089
1.07523	1.00971	-0.333867	0.122103
1.09345	1.02682	-0.337272	0.0800618
1.11168	1.04393	-0.340661	0.094934
1.1299	1.06105	-0.344034	0.241577
1.14813	1.07816	-0.347394	0.150368
1.16635	1.09528	-0.350739	0.172674
1.18457	1.11239	-0.354071	0.420317
1.2028	1.1295	-0.35739	0.251756
1.22102	1.14662	-0.360696	0.597154
1.23925	1.16373	-0.363991	0.3496
1.25747	1.18084	-0.367274	0.386408
1.31214	1.23218	-0.372905	13.0353
1.34859	1.26641	-0.37813	6.81423
1.38504	1.30064	-0.383294	8.23453
1.42149	1.33487	-0.3884	9.61642
1.45794	1.36909	-0.393453	8.06925
1.49439	1.40332	-0.398455	11.8056
1.53083	1.43755	-0.40341	12.8663
1.56728	1.47178	-0.408321	13.7598
1.60373	1.506	-0.413189	14.4735
1.64018	1.54023	-0.418018	11.2128
1.67663	1.57446	-0.422809	15.2808
1.71308	1.60869	-0.427565	15.4973
1.74952	1.64291	-0.432287	15.5485
1.78597	1.67714	-0.436978	15.4487
1.82242	1.71137	-0.441639	15.2143
1.85887	1.7456	-0.446272	11.1858
1.89532	1.77982	-0.450877	14.5335
1.93177	1.81405	-0.884779	14.0207
1.96822	1.84828	-0.894074	13.4397
2.00466	1.8825	-0.903316	12.8067
2.04111	1.91673	-0.912507	9.16677
2.07756	1.95096	-0.92165	11.6179
2.11401	1.98519	-0.930748	10.9145
2.15046	2.01941	-0.939801	7.72165
2.18691	2.05364	-0.948812	11.9913
2.22335	2.08787	-0.957784	6.67634
2.2598	2.1221	-0.966717	8.31292
2.29625	2.15632	-0.975614	7.6615
2.3327	2.19055	-0.984475	5.33491
2.36915	2.22478	-0.993304	8.14594
2.4056	2.25901	-1.0021	4.46233
2.44204	2.29323	-1.01087	5.48292
2.47849	2.32746	-1.0196	4.98067
2.51494	2.36169	-1.02831	3.4265
2.55139	2.39591	-1.03699	5.16463
2.58784	2.43014	-1.04564	2.79388
2.62429	2.46437	-1.05427	3.39765
2.66074	2.4986	-1.06288	3.05168
2.69718	2.53282	-1.07146	2.07955
2.73363	2.56705	-1.08002	3.10249
2.77008	2.60128	-1.08856	1.66164
2.80653	2.63551	-1.09708	2.00413
2.84298	2.66973	-1.10558	1.78376
2.87943	2.70396	-1.11406	1.20623
2.91587	2.73819	-1.12252	1.78471
2.95232	2.77242	-1.13096	0.948105
2.98877	2.80664	-1.13939	1.13584
3.02522	2.84087	-1.14779	1.00342
3.06167	2.8751	-1.15619	0.885198
3.09812	2.90933	-1.16457	0.779847
3.13457	2.94355	-1.17293	0.686137
3.17101	2.97778	-1.18128	0.459463
3.20746	3.01201	-1.73123	0.0644022
3.20746	3.01201	-1.18961	0.482372
3.24391	3.04623	-1.74379	0.175489
3.24391	3.04623	-1.19793	0.303967
3.28036	3.08046	-1.75633	0.209203
3.28036	3.08046	-1.20624	0.210742
3.31681	3.11469	-1.76884	0.184086
3.31681	3.11469	-1.21454	0.183327
3.35326	3.14892	-1.78134	0.161813
3.35326	3.14892	-1.22282	0.159295
3.3897	3.18314	-1.79381	0.142017
3.3897	3.18314	-1.23109	0.13833
3.42615	3.21737	-1.80626	0.124562
3.42615	3.21737	-1.23935	0.119952
3.4626	3.2516	-1.81869	0.109133
3.4626	3.2516	-1.2476	0.10392
3.49905	3.28583	-1.8311	0.0954598
3.49905	3.28583	-1.25584	0.0900055
3.5355	3.32005	-1.8435	0.102586
3.5355	3.32005	-1.26406	0.0956275
3.57195	3.35428	-1.85587	0.0703797
3.57195	3.35428	-1.27228	0.0649259
3.60839	3.38851	-1.86823	0.101368
3.60839	3.38851	-1.28049	0.0429209
3.64484	3.42274	-1.88057	0.142391
