x(m)	y(m)	z(m)	Energy (GeV)
-3.83926	5.98116	1.6
-3.83926	5.98116	1.68
-3.82662	5.95362	1.59
-3.82662	5.95362	1.68
-3.76321	6.0293	1.83
-3.75472	6.03459	1.67
-3.74212	6.0071	1.67
-3.74212	6.0071	1.83
-3.68767	5.74574	1.55
-3.61161	5.79385	1.62
-3.61161	5.79385	1.85
-3.54872	5.53786	1.51
-3.48111	5.58061	1.87
-3.47262	5.5859	1.58
-3.38451	5.2749	1.45
-3.38451	5.2749	1.46
-3.36346	5.25276	1.45
-3.35082	5.22523	1.44
-3.35082	5.22523	1.45
-3.32977	5.20308	1.44
-3.3169	5.31767	1.89
-3.30841	5.32296	1.52
-3.30429	5.29018	1.89
-3.29581	5.29547	1.52
-3.2832	5.26798	1.9
-3.27471	5.27326	1.51
-3.2706	5.24048	1.9
-3.26211	5.24577	1.51
-0.0981462	0.132636	0.44022
-0.0976371	0.133011	0.438007
-0.0848804	0.11756	0.433173
-0.0833735	0.142386	0.426623
-0.0831005	0.142546	0.428204
-0.0761779	0.146362	0.418401
-0.073359	0.147795	0.410179
-0.0732263	0.125152	0.42337
-0.0729532	0.125311	0.424635
-0.0723446	0.101938	0.42845
-0.0671396	0.12852	0.416097
-0.0654522	0.129387	0.408824
-0.0631921	0.107851	0.41995
-0.0628466	0.108052	0.42115
-0.0600825	0.0861109	0.42375
-0.0585858	0.154249	0.327327
-0.0582101	0.110619	0.41365
-0.0572344	0.111127	0.40765
-0.0545171	0.134361	0.339254
-0.0530088	0.090637	0.41665
-0.0528361	0.0907378	0.41765
-0.0490769	0.0928249	0.41145
-0.0488115	0.0929647	0.40635
-0.0487238	0.115113	0.34745
-0.048145	0.0700504	0.41895
-0.0429119	0.0733728	0.41325
-0.0427392	0.0734736	0.41415
-0.0423271	0.0960907	0.35555
-0.0401199	0.0749359	0.40505
-0.0398552	0.0750771	0.40915
-0.0363695	0.0538726	0.41425
-0.0353725	0.0772903	0.36365
-0.032815	0.0561086	0.40995
-0.0326422	0.0562093	0.41055
-0.0311611	0.0570437	0.40385
-0.0306332	0.0573289	0.40685
-0.0279556	0.0586812	0.37175
-0.0249233	0.0374677	0.40955
-0.0227181	0.0388444	0.40665
-0.0226317	0.0388948	0.40705
-0.0218493	0.0393396	0.40255
-0.0212348	0.0396747	0.40455
-0.0202587	0.0401819	0.38385
-2.49077	4.31413	1.3886	0.0976794
-2.49077	4.31413	2.017	0.000745698
-2.40787	4.17055	1.37748	0.141119
-2.32497	4.02696	1.36556	0.211975
-2.24207	3.88337	0.692531	0.00213922
-2.24207	3.88337	1.3528	0.289244
-2.15917	3.73979	0.686468	0.00299976
-2.15917	3.73979	1.3391	0.466138
-2.07627	3.5962	0.679946	0.00508102
-2.07627	3.5962	1.32438	0.566262
-1.99337	3.45261	0.672922	0.00621656
-1.99337	3.45261	1.30856	0.938011
-1.91047	3.30903	0.665349	0.0113626
-1.91047	3.30903	1.29154	1.28986
-1.82757	3.16544	0.657174	0.0175226
-1.82757	3.16544	1.27319	1.77054
-1.74467	3.02185	0.648338	0.838669
-1.74467	3.02185	1.2534	1.56861
-1.66553	-3.44471e-13	0.888672	0.0777951
-1.66553	-3.44471e-13	1.18705	0.003673
-1.66177	2.87826	0.638775	1.3892
-1.66177	2.87826	1.23204	1.94582
-1.65129	0.217396	0.888672	0.0433086
-1.65129	0.217396	1.18705	0.0113664
-1.60878	0.431072	0.888672	0.23897
-1.57887	2.73468	0.628412	4.40087
-1.57887	2.73468	1.20895	0.0704609
-1.49597	2.59109	0.617167	5.53476
-1.49597	2.59109	1.18396	0.112402
-1.41307	2.4475	0.604949	7.85959
-1.41307	2.4475	1.15689	0.145992
-1.38557	0.573923	0.835205	0.265675
-1.33017	2.30392	0.591653	9.19343
-1.33017	2.30392	1.12754	0.226309
-1.24727	2.16033	0.577164	11.4768
-1.24727	2.16033	1.09567	0.284175
-1.16437	2.01674	0.561349	13.7466
-1.16437	2.01674	1.06104	0.422547
-1.08147	1.87316	0.544058	14.7795
-1.08147	1.87316	1.02337	0.622264
-1.02542	0.592025	0.425889	1.74691e-05
-0.998567	1.72957	0.525119	15.5062
-0.998567	1.72957	0.982324	0.77235
-0.915667	1.58598	0.504332	12.9034
-0.915667	1.58598	0.93756	0.856834
-0.832767	1.44239	0.481467	7.9911
-0.832767	1.44239	0.888672	0.762979
-0.749867	1.29881	0.456252	2.82255
-0.749867	1.29881	0.835205	0.434231
-0.731457	2.72984	0.604949	0.126119
-0.688545	2.56969	0.591653	0.214282
-0.645633	2.40953	0.577164	0.269809
-0.639475	1.1076	0.477166	0.784418
-0.637372	1.53875	0.481467	0.75367
-0.636575	1.10258	0.473579	0.00180028
-0.63355	1.09734	0.46993	0.00753944
-0.627125	1.08621	0.462449	0.0380893
-0.623725	1.08032	0.458619	0.0535745
-0.612775	1.06136	0.446775	1.04896
-0.608875	1.0546	0.442711	11.3675
-0.606938	4.61015	0.698175	0.00158328
-0.60485	1.04763	0.438589	13.8301
-0.602721	2.24938	0.561349	0.445451
-0.6007	1.04044	0.434412	0.592333
-0.596425	1.03304	0.430178	1.00406
-0.592025	1.02542	0.425889	0.53893
-0.5875	1.01758	0.421545	9.58838e-05
-0.585297	4.44577	0.692531	0.00239682
-0.573923	1.38557	0.456252	0.457945
-0.563656	4.28139	0.686468	0.00406369
-0.559809	2.08923	0.544058	0.55647
-0.542014	4.11701	0.679946	0.00565136
-0.520373	3.95263	0.672922	0.00948687
-0.516896	1.92908	0.525119	0.759273
-0.498732	3.78825	0.665349	0.0146598
-0.477091	3.62386	0.657174	0.0200328
-0.473984	1.76893	0.504332	0.844061
-0.455449	3.45948	0.648338	0.0329658
-0.433808	3.2951	0.638775	0.0443599
-0.412167	3.13072	0.628412	0.0717112
-0.390526	2.96634	0.617167	0.094573
-0.368885	2.80196	0.604949	0.023182
-0.306455	1.1437	0.425889	0.0279039
-0.304112	1.13496	0.421545	1.33695e-05
0.195755	1.4869	0.456252	0.253689
0.431072	1.60878	0.481467	0.00232262
0.431072	1.60878	0.481467	0.228124
0.573923	1.38557	0.456252	0.000180243
0.637372	1.53875	0.481467	0.0924061
0.749867	1.29881	0.456252	0.000176345
0.832767	1.44239	0.481467	0.0349558
1.04044	0.6007	-0.768363	0.000331665
1.09734	0.63355	-0.826218	3.60697e-05
1.09734	0.63355	-0.46993	3.29299e-05
1.10258	0.636575	-0.832033	0.000160306
1.10258	0.636575	-0.473579	0.000146849
