x(m)	y(m)	z(m)	Energy (GeV)
-4.81	5.2	6.8582
-4.8	5.19	6.8582
-0.11648	0.116865	-0.0374
-0.102355	0.102706	-0.0586
-0.0883004	0.0884762	-0.0798
-0.0459247	0.0459991	-0.13635
-0.0317995	0.0318401	-0.15755
0.0317794	0.0318601	-0.20005
0.0318501	-0.0317894	-0.24245
0.0459272	0.0459967	-0.20005
0.0459979	-0.0459259	-0.26365
0.060075	0.0601332	-0.20005
0.0601457	-0.0600625	-0.28485
0.074152	0.0743403	-0.20005
0.0742934	-0.074199	-0.29895
0.0882998	0.0884769	-0.20005
0.0884412	-0.0883355	-0.32025
0.102448	0.102613	-0.2
0.102559	-0.102502	-0.341467
0.116525	0.116821	-0.2
0.116852	-0.116493	-0.362745
4.2474	4.48543	-0.2
4.2712	4.5042	-0.2
4.28775	4.52985	-0.2
4.31156	4.54862	-0.2
4.51884	4.77927	-0.2
4.69303	4.95862	-0.2
4.86722	5.13798	-0.2
4.88377	5.16362	-0.2
-3.52248	3.52248	3.46581	0.00163169
-3.40524	3.40524	3.40851	0.00163216
-3.288	3.288	3.34818	0.00163264
-3.17076	3.17076	2.92278	0.0016331
-3.05352	3.05352	2.87146	0.00163366
-2.93628	2.93628	2.81709	0.0016342
-2.81905	2.81905	2.75949	0.00163477
-2.70181	2.70181	2.69847	0.00163536
-2.58457	2.58457	2.63382	0.00163598
-2.46733	2.46733	2.22032	0.00163635
-2.35009	2.35009	2.16637	0.00163631
-2.23286	2.23286	2.10879	0.0016364
-2.11562	2.11562	2.04732	0.00163643
-1.99838	1.99838	1.9817	0.00163647
-1.88114	1.88114	1.91167	0.00163651
-1.7639	1.7639	1.51852	0.00163657
-1.64666	1.64666	1.46184	0.00163664
-1.52943	1.52943	1.40072	0.00163672
-1.41219	1.41219	1.33481	0.00163664
-1.29495	1.29495	1.26372	0.00163644
-1.17771	1.17771	1.18705	0.00163648
-1.06047	1.06047	0.835205	0.00163633
-0.928113	0.928113	0.873919	0.00121763
-0.925249	0.925249	0.869145	0.00131631
-0.922209	0.922209	0.864236	0.001415
-0.918991	0.918991	0.859195	0.00151413
-0.915597	0.915597	0.854022	0.00161238
-0.912026	0.912026	0.848718	0.00171106
-0.908279	0.908279	0.843285	0.00181018
-0.904354	0.904354	0.837723	0.00190886
-0.900253	0.900253	0.832033	0.00200712
-0.895975	0.895975	0.826218	0.00210581
-0.89152	0.89152	0.820277	0.00220449
-0.886889	0.886889	0.814212	0.00230318
-0.88208	0.88208	0.808023	0.00240186
-0.877095	0.877095	0.801713	0.00250055
-0.871933	0.871933	0.795281	0.00259923
-0.866595	0.866595	0.78873	0.00269792
-0.861079	0.861079	0.782059	0.0027966
-0.855387	0.855387	0.77527	0.00289529
-0.849518	0.849518	0.768363	0.00299435
-0.843472	0.843472	0.761341	0.00309303
-0.83725	0.83725	0.754203	0.00319171
-0.83085	0.83085	0.746951	0.00329003
0.83085	0.83085	7.1948e-17	0.00232644
0.83725	0.83725	7.25022e-17	0.00225628
0.843472	0.843472	7.3041e-17	0.00218632
0.849518	0.849518	7.35645e-17	0.00211638
0.855387	0.855387	7.40728e-17	0.00204664
0.861079	0.861079	7.45657e-17	0.00197674
0.866595	0.866595	7.50433e-17	0.00190667
0.871933	0.871933	7.55056e-17	0.00183678
0.877095	0.877095	7.59526e-17	0.00176691
0.88208	0.88208	7.63843e-17	0.00169727
0.886889	0.886889	7.68007e-17	0.00162723
0.89152	0.89152	7.72017e-17	0.0015574
0.895975	0.895975	7.75875e-17	0.00148781
0.900253	0.900253	7.7958e-17	0.00141779
0.904354	0.904354	7.83131e-17	0.00134821
0.908279	0.908279	7.86529e-17	0.00127822
0.912026	0.912026	7.89775e-17	0.00120866
0.915597	0.915597	7.92867e-17	0.00113869
0.918991	0.918991	7.95806e-17	0.00106915
0.922209	0.922209	7.98592e-17	0.000999197
0.925249	0.925249	8.01225e-17	0.000929689
0.928113	0.928113	8.03705e-17	0.000859735
1.06047	-1.06047	-1.10435	4.63283
