Next particle
x(m)	y(m)	z(m)	Energy (GeV)
0.045	5.61538e-06	0
0.065	1.13333e-05	0
0.125	0	0
0.145	0.0001	0
0.165	0.0001	0
6.17704	0.0599991	0
6.20704	0.0599991	0
6.23705	0.0599991	0
6.26705	0.0599991	0
6.57706	0.0599992	0
6.82707	0.0599992	0
7.07699	0.0699989	0
7.10699	0.0699989	0
1.175	0	7.1948e-17	0.00232619
1.18405	0	7.25022e-17	0.00225638
1.19285	0	7.3041e-17	0.0021866
1.2014	0	7.35645e-17	0.00211681
1.2097	0	7.40728e-17	0.00204705
1.21775	0	7.45657e-17	0.00197727
1.22555	0	7.50433e-17	0.00190746
1.2331	0	7.55056e-17	0.00183768
1.2404	0	7.59526e-17	0.00176789
1.24745	0	7.63843e-17	0.00169813
1.25425	0	7.68007e-17	0.00162832
1.2608	0	7.72017e-17	0.00155854
1.2671	0	7.75875e-17	0.00148878
1.27315	0	7.7958e-17	0.00141897
1.27895	0	7.83131e-17	0.00134921
1.2845	0	7.86529e-17	0.0012794
1.2898	0	7.89775e-17	0.00120964
1.29485	0	7.92867e-17	0.00113984
1.29965	0	7.95806e-17	0.00107008
1.3042	0	7.98592e-17	0.00100027
1.3085	0	8.01225e-17	0.000930508
1.31255	0	8.03705e-17	0.000860699
1.49973	0	9.18322e-17	0.00115692
1.66553	0	1.01985e-16	0.00115692
1.83133	0	1.12137e-16	0.00115693
1.99713	0	1.22289e-16	0.00115693
2.16293	0	1.32442e-16	0.00115693
2.32873	0	1.42594e-16	0.00115693
2.49453	0	1.52746e-16	0.00115693
2.66033	0	1.62898e-16	0.00115692
2.82613	0	1.73051e-16	0.00115692
2.99193	0	1.83203e-16	0.00115692
3.15773	0	1.93355e-16	0.00115692
3.32353	0	2.03508e-16	0.00115692
3.48933	0	2.1366e-16	0.00115692
3.65513	0	2.23812e-16	0.00115692
3.82093	0	2.33965e-16	0.00115692
3.98673	0	2.44117e-16	0.00115691
4.15253	0	2.54269e-16	0.00115691
4.31833	0	2.64422e-16	0.00115691
4.48413	0	2.74574e-16	0.00115691
4.64993	0	2.84726e-16	0.00115691
4.81573	0	2.94879e-16	0.00115691
4.98153	0	3.05031e-16	0.00115691
