x(m)	y(m)	z(m)	Energy (GeV)
-0.25	-6.58	6.8582
-0.25	-6.57	6.8582
-0.13	6.53	6.8582
-0.13	6.54	6.8582
-0.13	6.55	6.8582
-0.12	6.36	6.6882
-0.000441601	-0.164999	0.462672
-0.000234752	-0.145	0.441395
-0.000234752	0.145	0.441395
-0.000166386	-0.105	0.39895
-0.000150459	-0.125	0.42025
-0.000125374	0.165	0.462672
-9.82387e-05	-0.0649999	0.36365
-8.23122e-05	-0.085	0.38485
-8.23122e-05	0.085	0.38485
-6.63857e-05	0.105	0.39895
-5.04591e-05	0.125	0.42025
-1.41653e-05	-0.045	0.34245
-1.41653e-05	0.045	0.34245
1.76124e-06	0.065	0.36365
-4.63711e-13	-4.48413	3.28466	0.00163143
-4.63711e-13	4.48413	3.28466	0.00163857
-4.46566e-13	-4.31833	3.21779	0.00163192
-4.46566e-13	4.31833	3.21779	0.00163833
-4.2942e-13	-4.15253	3.14741	0.00163238
-4.2942e-13	4.15253	3.14741	0.00163808
-4.12274e-13	-3.98673	2.75949	0.00163296
-4.12274e-13	3.98673	2.75949	0.00163782
-3.95129e-13	-3.82093	2.69847	0.00163351
-3.95129e-13	3.82093	2.69847	0.00163756
-3.77983e-13	-3.65513	2.63382	0.00163409
-3.77983e-13	3.65513	2.63382	0.00163728
-3.76257e-13	-3.63844	3.89824	0.00164251
-3.76257e-13	3.63844	3.89824	0.00163298
-3.65961e-13	-3.53888	3.76432	0.00164207
-3.65961e-13	3.53888	3.76432	0.00163319
-3.60837e-13	-3.48933	2.56535	0.0016347
-3.60837e-13	3.48933	2.56535	0.00163699
-3.5562e-13	-3.43888	3.63071	0.00164161
-3.5562e-13	3.43888	3.63071	0.00163341
-3.43692e-13	-3.32353	2.49285	0.00163527
-3.43692e-13	3.32353	2.49285	0.00163668
-3.26546e-13	-3.15773	2.4161	0.00163601
-3.26546e-13	3.15773	2.4161	0.00163638
-3.09401e-13	-2.99193	2.33491	0.00163643
-3.09401e-13	2.99193	2.33491	0.00163617
-2.92255e-13	-2.82613	1.9817	0.00163647
-2.92255e-13	2.82613	1.9817	0.0016362
-2.75109e-13	-2.66033	1.91167	0.00163651
-2.75109e-13	2.66033	1.91167	0.00163621
-2.57964e-13	-2.49453	1.83696	0.00163657
-2.57964e-13	2.49453	1.83696	0.00163623
-2.40818e-13	-2.32873	1.75728	0.00163664
-2.40818e-13	2.32873	1.75728	0.00163624
-2.23672e-13	-2.16293	1.67236	0.00163672
-2.23672e-13	2.16293	1.67236	0.00163626
-2.06527e-13	-1.99713	1.58193	0.00163664
-2.06527e-13	1.99713	1.58193	0.00163624
-1.89381e-13	-1.83133	1.48572	0.00163644
-1.89381e-13	1.83133	1.48572	0.00163622
-1.72235e-13	-1.66553	1.18705	0.00163648
-1.72235e-13	1.66553	1.18705	0.0016362
-1.5509e-13	-1.49973	1.10435	0.00163633
-1.5509e-13	1.49973	1.10435	0.00163617
-1.35733e-13	-1.31255	1.09612	0.00121763
-1.35733e-13	1.31255	1.09612	0.00121729
-1.35314e-13	-1.3085	1.09104	0.00131631
-1.35314e-13	1.3085	1.09104	0.00131598
-1.34869e-13	-1.3042	1.08578	0.001415
-1.34869e-13	1.3042	1.08578	0.00141467
-1.34399e-13	-1.29965	1.08032	0.00151413
-1.34399e-13	1.29965	1.08032	0.00151347
-1.33902e-13	-1.29485	1.07468	0.00161238
-1.33902e-13	1.29485	1.07468	0.00161205
-1.3338e-13	-1.2898	1.06886	0.00171106
-1.3338e-13	1.2898	1.06886	0.00171074
-1.32832e-13	-1.2845	1.06285	0.00181018
-1.32832e-13	1.2845	1.06285	0.00180953
-1.32258e-13	-1.27895	1.05666	0.00190886
-1.32258e-13	1.27895	1.05666	0.00190822
-1.31658e-13	-1.27315	1.05029	0.00200712
-1.31658e-13	1.27315	1.05029	0.0020068
-1.31033e-13	-1.2671	1.04374	0.00210581
-1.31033e-13	1.2671	1.04374	0.00210549
-1.30381e-13	-1.2608	1.03701	0.00220449
-1.30381e-13	1.2608	1.03701	0.00220418
-1.29704e-13	-1.25425	1.03011	0.00230318
-1.29704e-13	1.25425	1.03011	0.00230287
-1.29001e-13	-1.24745	1.02302	0.00240186
-1.29001e-13	1.24745	1.02302	0.00240156
-1.28272e-13	-1.2404	1.01576	0.00250055
-1.28272e-13	1.2404	1.01576	0.00250025
-1.27517e-13	-1.2331	1.00833	0.00259923
-1.27517e-13	1.2331	1.00833	0.00259894
-1.26736e-13	-1.22555	1.00072	0.00269792
-1.26736e-13	1.22555	1.00072	0.00269762
-1.25929e-13	-1.21775	0.992941	0.0027966
-1.25929e-13	1.21775	0.992941	0.00279631
-1.25097e-13	-1.2097	0.98499	0.00289529
-1.25097e-13	1.2097	0.98499	0.002895
-1.24239e-13	-1.2014	0.976868	0.00299435
-1.24239e-13	1.2014	0.976868	0.00299378
-1.23354e-13	-1.19285	0.968578	0.00309303
-1.23354e-13	1.19285	0.968578	0.00309247
-1.22444e-13	-1.18405	0.960119	0.00319171
-1.22444e-13	1.18405	0.960119	0.00319116
-1.21509e-13	-1.175	0.951493	0.00329003
-1.21509e-13	1.175	0.951493	0.00328976
