x(m)	y(m)	z(m)	Energy (GeV)
-0.11648	0.116865	-0.0374
-0.102355	0.102706	-0.0586
-0.0883004	0.0884762	-0.0798
-0.0459247	0.0459991	-0.13635
-0.0317995	0.0318401	-0.15755
0.0317794	0.0318601	-0.20005
0.0318501	-0.0317894	-0.24245
0.0459272	0.0459967	-0.20005
0.0459979	-0.0459259	-0.26365
0.060075	0.0601332	-0.20005
0.0601457	-0.0600625	-0.28485
0.074152	0.0743403	-0.20005
0.0742934	-0.074199	-0.29895
0.0882998	0.0884769	-0.20005
0.0884412	-0.0883355	-0.32025
0.102448	0.102613	-0.2
0.102559	-0.102502	-0.341467
0.116525	0.116821	-0.2
0.116852	-0.116493	-0.362745
4.24013	4.4923	-0.2
4.26394	4.51107	-0.2
4.28048	4.53672	-0.2
4.3043	4.55549	-0.2
4.51157	4.78613	-0.2
4.67849	4.97235	-0.23
4.68576	4.96549	-0.2
4.85268	5.15171	-0.2
4.86922	5.17735	-0.2
4.86922	5.17735	-0.19
4.8765	5.17049	-0.2
-3.05352	3.05352	2.87146	0.151016
-2.93628	2.93628	2.81709	0.0833755
-2.81905	2.81905	2.75949	0.138929
-2.70181	2.70181	2.69847	0.25981
-2.58457	2.58457	2.63382	0.42595
-2.46733	2.46733	2.22032	0.752514
-2.35009	2.35009	2.16637	1.13762
-2.23286	2.23286	2.10879	1.78479
-2.11562	2.11562	2.04732	2.99204
-1.99838	1.99838	1.9817	4.633
-1.88114	1.88114	1.91167	6.41025
-1.7639	1.7639	1.51852	9.85766
-1.64666	1.64666	1.46184	13.7078
-1.52943	1.52943	1.40072	13.5904
-1.41219	1.41219	1.33481	17.7635
-1.29495	1.29495	1.26372	16.0781
-1.17771	1.17771	1.18705	12.4532
-1.06047	1.06047	0.835205	3.86567
0.83725	0.83725	7.25022e-17	1.81653e-07
1.06047	-1.06047	-1.10435	4.63283
1.06047	1.06047	9.18322e-17	1.20903
1.17771	-1.17771	-1.18705	16.541
1.17771	1.17771	1.01985e-16	3.79987
1.29495	-1.29495	-1.26372	24.9589
1.29495	1.29495	1.12137e-16	6.69519
1.41219	-1.41219	-1.58193	26.5322
1.41219	1.41219	1.22289e-16	8.34238
1.52943	-1.52943	-1.67236	21.0716
1.52943	1.52943	1.32442e-16	7.87982
1.64666	-1.64666	-1.75728	22.1333
1.64666	1.64666	1.42594e-16	7.52101
1.7639	-1.7639	-1.83696	16.2983
1.7639	1.7639	1.52746e-16	7.12368
1.88114	-1.88114	-1.91167	10.8196
1.88114	1.88114	1.62898e-16	5.36371
1.99838	-1.99838	-1.9817	7.96648
1.99838	1.99838	1.73051e-16	4.35167
2.11562	-2.11562	-2.04732	4.95422
2.11562	2.11562	1.83203e-16	3.74686
2.23286	-2.23286	-2.4161	3.45576
2.23286	2.23286	1.93355e-16	2.60571
2.35009	-2.35009	-2.49285	2.05149
2.35009	2.35009	2.03508e-16	1.9842
2.46733	-2.46733	-2.56535	1.30361
2.46733	2.46733	2.1366e-16	1.48851
2.58457	-2.58457	-2.63382	0.815979
2.58457	2.58457	2.23812e-16	1.19474
2.70181	-2.70181	-2.69847	0.475592
2.70181	2.70181	2.33965e-16	0.781385
2.81905	-2.81905	-2.75949	0.300897
2.81905	2.81905	2.44117e-16	0.565474
2.93628	-2.93628	-2.81709	0.188611
2.93628	2.93628	2.54269e-16	0.439001
3.05352	-3.05352	-2.87146	0.102654
3.05352	3.05352	2.64422e-16	0.254894
3.17076	-3.17076	-3.28466	0.0682637
3.17076	3.17076	2.74574e-16	0.220261
3.288	-3.288	-3.34818	0.0382843
3.288	-3.288	-2.97124	0.035488
3.288	3.288	2.84726e-16	0.137712
3.40524	-3.40524	-3.01699	0.0519639
3.40524	3.40524	2.94879e-16	0.0958999
3.52248	3.52248	3.05031e-16	0.071789
